id,name,type,origin,instrumentsUsed,language,description,imageurl,wikiurl
1,Hindustani Classical,Classical,North India,"Sitar, Tabla, Sarod, Flute","Hindi, Urdu, Sanskrit","Hindustani Classical is one of the two major traditions of Indian classical music, developed in North India. It emphasizes improvisation, ragas, and talas, with performances often lasting for hours.",,https://en.wikipedia.org/wiki/Hindustani_classical_music
2,Carnatic Classical,Classical,South India,"Veena, Mridangam, Violin, Ghatam","Tamil, Telugu, Kannada, Sanskrit","Carnatic music is the South Indian classical tradition, known for complex ragas, devotional themes, and compositions by saint-poets like Tyagaraja. It focuses on precision and lyrical depth.",,https://en.wikipedia.org/wiki/Carnatic_music
3,Qawwali,Devotional,"Sufi Shrines of North India & Pakistan","Harmonium, Tabla, Dholak, Clapping","Urdu, Hindi, Punjabi","Qawwali is a form of Sufi devotional music performed at dargahs and festivals. It features powerful vocals, rhythmic clapping, and mystical poetry expressing divine love.",,https://en.wikipedia.org/wiki/Qawwali
4,Bhajan,Devotional,Pan-India,"Harmonium, Tabla, Dholak","Hindi, Sanskrit, Gujarati, Marathi","Bhajans are Hindu devotional songs dedicated to gods and goddesses. They are usually sung in temples and spiritual gatherings with simple melodies.",,https://en.wikipedia.org/wiki/Bhajan
5,Ghazal,Poetic Music,North India,"Harmonium, Sarangi, Tabla","Urdu, Hindi","Ghazal is a poetic form of music that conveys deep emotions of love, loss, and spirituality. It blends Persian and Indian influences with lyrical recitation and melody.",,https://en.wikipedia.org/wiki/Ghazal
6,Dhrupad,Classical,"North India (Medieval Courts)","Pakhawaj, Rudra Veena","Sanskrit, Hindi","Dhrupad is the oldest surviving form of Hindustani classical music, marked by slow, meditative alap and powerful compositions, often performed in royal courts.",,https://en.wikipedia.org/wiki/Dhrupad
7,Thumri,Light Classical,North India,"Tabla, Harmonium, Sarangi","Hindi, Urdu","Thumri is a semi-classical form focusing on romantic and devotional lyrics. It emphasizes emotional expression and improvisation, often associated with Kathak dance.",,https://en.wikipedia.org/wiki/Thumri
8,Kriti,Classical,South India,"Mridangam, Violin, Veena","Tamil, Telugu, Sanskrit","Kriti is the main compositional form of Carnatic music, structured with pallavi, anupallavi, and charanam. It conveys devotion and intricate musical ideas.",,https://en.wikipedia.org/wiki/Kriti
9,Folk (Bihu Songs),Folk,Assam,"Dhol, Pepa, Gogona","Assamese","Bihu songs are part of Assamâ€™s folk tradition, sung during Bihu festival. They are lively, romantic, and celebrate agriculture, love, and community.",,https://en.wikipedia.org/wiki/Bihu_dance
10,Baul,Folk,West Bengal,"Ektara, Dotara","Bengali","Baul music is the mystical folk tradition of Bengal, blending bhakti and Sufi philosophies. Bauls sing about divine love and simplicity of life.",,https://en.wikipedia.org/wiki/Baul
11,Bhangra,Folk/Punjabi Pop,Punjab,"Dhol, Tumbi","Punjabi","Bhangra is a vibrant folk music and dance form of Punjab. Originally linked to harvest festivals, it has evolved into a global pop-fusion genre.",,https://en.wikipedia.org/wiki/Bhangra
12,Dadra,Light Classical,North India,"Tabla, Harmonium","Hindi, Urdu","Dadra is a semi-classical style performed in 6-beat rhythm. It is lighter than thumri and focuses on romantic or devotional expressions.",,https://en.wikipedia.org/wiki/Dadra_(music)
13,Tappa,Light Classical,Punjab,"Tabla, Harmonium","Punjabi, Hindi","Tappa is a semi-classical style known for fast-paced, intricate note patterns. It evolved from Punjabi folk songs.",,https://en.wikipedia.org/wiki/Tappa_(music)
14,Abhang,Devotional,Maharashtra,"Mridangam, Harmonium, Tabla","Marathi","Abhang is a form of devotional music sung in praise of Lord Vithoba. It is deeply rooted in Marathi bhakti traditions.",,https://en.wikipedia.org/wiki/Abhang
15,Sufi Music,Devotional,"North India & Pakistan","Harmonium, Tabla, Flute","Urdu, Persian, Punjabi","Sufi music expresses mystical devotion and union with the divine. It blends Persian, Arabic, and Indian influences.",,https://en.wikipedia.org/wiki/Sufi_music
16,Rabindra Sangeet,Modern/Devotional,West Bengal,"Esraj, Harmonium","Bengali","Rabindra Sangeet refers to the songs written and composed by Rabindranath Tagore. They blend classical, folk, and Western styles with lyrical poetry.",,https://en.wikipedia.org/wiki/Rabindra_Sangeet
17,Shyama Sangeet,Devotional,West Bengal,"Harmonium, Tabla","Bengali","Shyama Sangeet is a genre of Bengali devotional songs dedicated to Goddess Kali, characterized by deep emotion and devotion.",,https://en.wikipedia.org/wiki/Shyama_Sangeet
18,Lavani,Folk,Maharashtra,"Dholki, Lezim, Manjusha","Marathi","Lavani is a folk music and dance tradition of Maharashtra, often performed with fast beats, humor, and socio-political themes.",,https://en.wikipedia.org/wiki/Lavani
19,Ghoomar,Folk,Rajasthan,"Dhol, Nagada","Rajasthani","Ghoomar is a traditional folk music and dance of Rajasthan, performed by women in colorful attire, celebrating joy and festivals.",,https://en.wikipedia.org/wiki/Ghoomar
20,Film Music (Bollywood),Popular,Pan-India,"Varied (Sitar, Guitar, Synthesizer, Tabla)","Hindi, Urdu, Regional Languages","Indian film music, especially Bollywood, is a fusion of classical, folk, and Western styles. It is the most popular form of music in India, influencing millions worldwide.",,https://en.wikipedia.org/wiki/Filmi
